言語,開始時期,詳細
BASIC,小学5年生頃〜,小学5年生頃に初めて参加した、地元博物館で開催されていた教室をきっかけにIchigoJamで触り始める。IchigoJamとBASICはその後大学に入ってからもたくさん使うことに。
HTML/CSS/JavaScript,中学生〜,中学3年生のコロナ休校時期をきっかけにプログラミングの1経験として始め、高校生の時に札幌で開催されたG's CAMP YOUTHに2度参加し本格的に使い始めた。後にG's YOUTH STUDIOでも学習
PHP,高校3年生秋頃〜,G's YOUTH STUDIOの後半カリキュラムとして学習を始めた。データベースやデータベースを使った保存、ログイン機能などについて学習。現在では主力プログラミング言語の1つとして主にWebサイトを作成。
Arduino（C++）,高校3年生冬/大学1年生〜,高校3年生の冬に初めて触り、大学1年生の後期から本格的に使い始めた。授業では1年生と2年生の後期にそれぞれArduinoで使用。その他はESP32で、ハッカソンや個人制作に使用。
Python,大学1年生〜,大学1年生の前期に授業で使い始め、現在では競技プログラミングで主に使用中。
C++,大学1年生〜,大学1年生の時に参加したETロボコンやArduino言語で使用。
Processing,大学1年生〜,大学1年生の前期授業で始め、主力プログラミング言語の1つ。プログラミングスクールのアルバイトでも使用。
Java,大学2年生〜,大学2年生前期の授業で使用。
Go,大学1年生〜,高度ICT演習「ばすうぃふと」のバックエンド班で大学1年生から使用。
Kotlin,大学3年生〜,高度ICT演習「ばすうぃふと」のAndroid班で大学3年生から使用。現在学習中。
Swift,大学3年生〜,大学3年生の4月にMacbook Neoを買ったことをきっかけに始めた。
